geneID	UnTrt_1	UnTrt_2	UnTrt_3	EtOH6H_1	EtOH6H_2	EtOH6H_3	ET24H_1	ET24H_2	ET24H_3
ENSMUSG00000002100	0	1	0	0	0	1	1	0	1
ENSMUSG00000002102	6418	7226	6400	6699	6951	8980	8364	8888	8977
ENSMUSG00000002103	1036	1139	1075	1293	1437	1730	1450	1423	1270
ENSMUSG00000002104	1862	1827	1842	2009	2304	2763	2354	2542	2563
ENSMUSG00000002105	1485	1743	1582	967	1073	1263	1359	1395	1345
ENSMUSG00000002107	2656	2430	2603	2530	2775	2912	3261	3035	3169
ENSMUSG00000002108	17	5	12	15	7	13	9	11	8
ENSMUSG00000002109	52	45	52	26	19	36	34	27	18
ENSMUSG00000002111	0	0	1	0	0	1	0	2	0
ENSMUSG00000002129	1687	1755	1673	1766	1896	2353	2179	2336	2247
ENSMUSG00000002147	6	13	9	15	18	25	20	14	19
ENSMUSG00000002190	1	0	1	0	0	0	0	0	0
ENSMUSG00000002204	0	0	0	0	0	0	0	0	0
ENSMUSG00000002205	178	176	184	277	282	370	267	278	272
ENSMUSG00000002210	307	413	296	292	337	376	323	346	360
ENSMUSG00000002221	546	516	572	367	453	553	428	469	423
ENSMUSG00000002222	1360	1329	1210	1898	2094	2467	2129	2046	1875
ENSMUSG00000002227	186	276	189	443	457	511	398	434	455
ENSMUSG00000002228	0	1	2	3	1	3	1	3	1
ENSMUSG00000002233	1968	2610	2039	2435	2864	3211	2776	3022	3325
ENSMUSG00000002240	0	0	0	0	0	0	0	0	0
ENSMUSG00000002249	606	734	753	367	405	486	573	617	604
ENSMUSG00000002250	971	1021	935	980	1043	1375	1021	1076	1211
ENSMUSG00000002257	49	56	36	66	109	104	74	83	90
ENSMUSG00000002265	3138	2595	3181	7567	8279	9554	9238	8650	9297
ENSMUSG00000002266	159	83	118	563	630	593	731	597	761
ENSMUSG00000002274	13	17	19	16	7	22	26	18	15
ENSMUSG00000002279	499	539	442	617	623	775	743	724	719
ENSMUSG00000002280	501	564	444	500	503	667	641	670	624
